ticker,company,theme,current_price_ref,market_cap_ref_usd_b,ttm_revenue_ref_usd_b,confirmed_orders_or_arr,next_12m_revenue_base_usd_b,next_24m_revenue_base_usd_b,confirmed_case_market_cap_usd_b,base_case_market_cap_usd_b,bull_case_market_cap_usd_b,valuation_reality_score,valuation_verdict,trade_posture_override,source_note,last_updated
US.AAOI,Applied Optoelectronics,AI optical interconnect,190-200,15-16,0.5,"1.6T/800G disclosed orders roughly 324M+; management 2026 revenue target >1.1B",1.1,2.0-2.8,6-10,12-18,20-30,48,PRICED_FOR_BASE_CASE,观察/等回调,"订单真实，但当前价格已提前反映 2027 中性偏乐观兑现；需要新订单或回调",2026-05-16
US.CRDO,Credo Technology,AI high-speed connectivity,180-190,34-36,1.1,"AEC/high-speed connectivity demand strong; revenue growth visible but valuation full",1.6-2.0,2.5-3.2,14-20,24-35,40-55,45,PRICED_FOR_BASE_CASE,等回调/等确认,"主线强、质量高，但估值很满；不适合追高",2026-05-16
US.ALAB,Astera Labs,AI rack-scale connectivity,230-250,38-42,1.0-1.2,"Q1 2026 revenue 308M; Q2 guide 355-365M; high gross margin",1.5-1.7,2.2-3.0,20-28,32-45,50-70,52,PRICED_FOR_BASE_CASE,观察/等回调,"确定性强但估值要求持续高增速；适合核心观察，不适合情绪追",2026-05-16
US.COHR,Coherent,AI photonics/InP/datacenter,210-230,34-36,6.6,"AI data center photonics/InP demand and 2027 visibility improving",7.0-7.8,8.0-9.5,28-35,36-50,55-70,68,FAIR_BUT_NEEDS_PULLBACK,可复核/等买点,"相对均衡，估值没有小票极端；适合 Radar/V6-B 正式复核",2026-05-16
US.VECO,Veeco,semicap equipment for AI/advanced packaging,55-65,3.2-3.8,0.65-0.75,"Q1 2026 revenue 158M; 2026 guide roughly 740-800M",0.75-0.8,0.9-1.2,2.8-3.5,4-6,7-9,72,FAIR_BUT_NEEDS_PULLBACK,可复核/等买点,"二阶设备链赔率相对健康；需跟踪订单和先进封装需求",2026-05-16
US.IREN,IREN,AI cloud/power/GPU,65-75,18-22,0.7-0.8,"AI cloud ARR/contract narrative growing; execution and financing risk high",1.0-1.4,2.0-3.0,8-12,15-25,30-45,38,TOO_MUCH_NARRATIVE_NOT_ENOUGH_NUMBERS,研究/不交易,"叙事强但确定性弱，融资/稀释/执行风险大；只适合小额右尾观察",2026-05-16
US.MRVL,Marvell,AI custom silicon/connectivity,165-180,135-145,8.0-8.5,"AI custom silicon and data-center connectivity visible; large-cap quality",9.5-11.0,12.0-15.0,100-125,130-170,180-230,60,PRICED_FOR_BASE_CASE,观察/等回调,"确定性较强但估值已反映大量 AI 增长；更适合 V6-B 核心观察",2026-05-16
US.NOK,Nokia,AI/networking/optical adjacency,13-15,70-80,22-24,"AI/cloud optical and IP network re-rating narrative; business mixed",23-25,25-28,50-65,70-90,100-120,58,PRICED_FOR_BASE_CASE,观察/等确认,"估值比小票便宜但弹性慢，需确认 AI 网络订单能转化为增长",2026-05-16
US.AMD,Advanced Micro Devices,AI accelerator/core reacceleration,220-240,360-390,27-30,"MI300/MI350/MI400 roadmap and hyperscaler demand visible but competition intense",34-40,45-60,280-340,360-500,600-800,62,PRICED_FOR_BASE_CASE,观察/等回调,"AI 加速器确定性提升，但市场已计入较高份额预期；适合 V6-B 核心复核，不适合追高",2026-05-16
US.MU,Micron Technology,HBM/memory bottleneck,145-165,165-185,23.9 run-rate quarter disclosed,"FY26 Q2 revenue 23.86B; records across revenue/gross margin/EPS/free cash flow; HBM and tight supply cycle visible",80-100,95-125,150-190,220-320,360-500,70,FAIR_BUT_NEEDS_PULLBACK,可复核/等买点,"瓶颈链条逻辑清晰且FY26收入台阶显著上移；但记忆体股必须严格处理周期峰值利润和供给扩张风险",2026-05-16
US.WDC,Western Digital,AI storage/HDD cycle,90-110,30-38,9-11,"Nearline HDD and data-center storage repricing narrative",11-14,13-17,28-35,38-55,60-80,64,PRICED_FOR_BASE_CASE,观察/等回调,"存储周期有弹性，但业务质量低于核心 AI 芯片；更适合作为二阶扩散样本",2026-05-16
