ticker,theme_strength,fundamental_validation,expectation_revision,price_momentum,liquidity_tradability,crowding_valuation_risk,anti_thesis_clarity,portfolio_fit,notes
US.AMD,85,70,75,85,95,45,80,80,Core re-acceleration candidate; strong but crowded.
US.ANET,80,70,70,75,90,55,75,85,AI networking/fabric expression; complements mega AI pool.
US.TSM,85,85,75,70,95,60,80,75,High-quality manufacturing anchor; geopolitical risk remains.
US.MU,85,70,80,90,95,40,75,70,HBM/memory cycle; high upside but cyclical and crowded.
US.WDC,75,65,70,80,80,50,75,70,Storage-cycle repricing candidate.
US.INTC,65,45,60,85,95,45,80,55,Turnaround momentum only; not a quality holding.
US.AMKR,70,50,55,55,65,60,70,65,Needs stronger AI/HPC packaging proof.
US.COHR,85,65,70,90,80,45,75,75,AI optics/interconnect diffusion leader; promoted after independent Radar and Missing Opportunity Review, but crowding/chase risk is elevated.
US.AMBA,65,45,50,55,55,65,70,55,Edge AI expectation-gap; slower validation.
US.CEVA,60,40,45,50,45,70,70,50,Small-cap IP optionality; tradability and validation weak.
